COD,SETOR,PRECO_ATUAL,LIQUIDEZ_DIARIA,DIVIDENDO,DIVIDEND_YIELD,DY_3M_ACUM,DY_6M_ACUM,DY_12M_ACUM,DY_3M_MEDIA,DY_6M_MEDIA,DY_12M_MEDIA,DY_ANO,VARIACAO_PRECO,RENTAB_PERIODO,RENTAB_ACUM,PATRIMONIO_LIQ,VPA,P_VPA,DY_PATRIMONIAL,VARIACAO_PATRIMONIAL,RENTAB_PATR_NO_PERIODO,RENTAB_PATR_ACUM,VACANCIA_FISICA,VACANCIA_FINANCEIRA,QUANTIDADE_ATIVOS
VIUR11,Títulos e Val. Mob.,"6,35",65928,"0,07","1,19","3,33","6,13","11,88","1,11","1,02","0,99","3,33","-7,23","-6,12","-11,34"," 246.170.038,89"," 9,14","0,70","0,79","-0,35","0,44","1,82","0,00",N/A,6
JRDM11,Shoppings,"77,50",1241,"0,59","0,72","2,21","4,36","8,01","0,74","0,73","0,67","0,72","0,00","0,72","0,72"," 223.490.739,85"," 88,58","0,87","1,29","-0,78","0,50","0,50","2,77",N/A,1
HLOG11,Logística,"81,49",301,"0,65","0,78","2,31","4,42","8,71","0,77","0,74","0,73","2,31","-1,52","-0,75","-1,74"," 493.289.241,38"," 116,07","0,70","0,56","-0,25","0,30","0,86","58,00","0,00",3
JFLL11,Residencial,"60,24",245,"0,63","1,09","3,17","6,01","11,16","1,06","1,00","0,93","3,17","-3,27","-2,22","1,47"," 151.570.078,64"," 101,01","0,60","0,61","-0,02","0,59","1,21","28,00",N/A,2
BBRC11,Outros,"92,70",1341,"0,99","1,07","3,15","6,16","12,02","1,05","1,03","1,00","3,15","-2,50","-1,46","-0,25"," 171.565.036,46"," 107,90","0,86","0,92","0,06","0,98","1,91","5,37","1,08",20
HGAG11,,"35,91",175,"0,51","1,50","4,81","301,86","0,00","1,60","50,31","0,00","4,81","17,04","18,80","34,07",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
BCRI11,Títulos e Val. Mob.,"68,56",20096,"0,86","1,17","3,02","6,12","13,52","1,01","1,02","1,13","3,02","-22,58","-21,67","-23,80"," 628.242.141,38"," 100,39","0,68","0,80","0,01","0,81","1,81",N/A,N/A,0
BPFF11,Títulos e Val. Mob.,"58,12",2296,"0,62","1,08","3,04","5,87","12,41","1,01","0,98","1,03","3,04","-6,18","-5,17","-8,27"," 322.269.846,68"," 71,74","0,81","0,86","0,00","0,86","0,86",N/A,N/A,0
PLCR11,Híbrido,"82,60",2866,"1,00","1,21","3,57","7,19","15,16","1,19","1,20","1,26","3,57","-1,61","-0,43","1,60"," 191.604.396,10"," 90,84","0,91","1,10","-1,64","-0,56","9,06",N/A,N/A,0
SPVJ11,Outros,N/A,N/A,"0,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 733.542.910,43"," 116,21",N/A,"0,58","-0,04","0,54","1,12",N/A,N/A,0
MALL11,Shoppings,"99,00",9691,"0,78","0,79","2,35","4,54","8,87","0,78","0,76","0,74","2,35","0,03","0,82","-2,41"," 1.094.178.737,27"," 119,91","0,83",N/A,N/A,N/A,N/A,"4,00",N/A,8
PVBI11,Lajes Corporativas,"91,85",16663,"0,61","0,69","2,12","3,95","7,52","0,71","0,66","0,63","2,12","3,56","4,27","6,70"," 1.040.547.991,88"," 103,65","0,89","0,55","4,63","5,20","8,21","0,10",N/A,4
STRX11,Híbrido,"22,96",318,"0,72","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 264.467.459,77"," 163,90","0,14","0,44","10,60","11,09","12,25",N/A,N/A,0
RNGO11,Lajes Corporativas,"48,39",292,"0,43","0,91","2,72","5,38","10,41","0,91","0,90","0,87","2,72","0,64","1,55","2,84"," 231.610.634,93"," 86,55","0,56","0,50","-0,05","0,45","0,95","24,10",N/A,3
RURA11,,"10,20",63688,"0,09","0,86","2,86","5,28","0,00","0,95","0,88","0,00","2,86","0,00","0,86","3,77",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
CACR11,Híbrido,"103,40",1149,"1,44","1,39","4,08","8,35","15,98","1,36","1,39","1,33","4,08","-2,33","-0,97","4,68"," 189.161.169,77"," 104,66","0,99","1,38","0,83","2,21","3,59",N/A,N/A,0
FPAB11,Lajes Corporativas,"126,00",199,"0,95","0,70","3,03","5,89","10,51","1,01","0,98","0,88","3,03","0,74","1,44","2,31"," 281.634.402,75"," 375,51","0,34","0,40","0,08","0,49","0,93","33,79",N/A,1
RBVA11,Outros,"90,83",5037,"0,95","1,05","3,09","6,52","12,91","1,03","1,09","1,08","3,09","-1,55","-0,51","-1,28"," 1.254.417.067,10"," 108,25","0,84","0,89","-0,03","0,86","1,76","0,70",N/A,72
CXAG11,Outros,"75,61",1192,"0,75","0,97","2,91","6,05","12,03","0,97","1,01","1,00","2,91","-0,90","0,06","2,26"," 239.776.557,58"," 114,69","0,66","0,65","0,00","0,65","0,65",N/A,N/A,0
XPHT11,Hotel,"105,63",528,"1,10","1,11","3,28","7,58","10,81","1,09","1,26","0,90","3,28","-5,61","-4,56","-7,75"," 358.486.293,56"," 94,22","1,12",N/A,N/A,N/A,N/A,"64,90",N/A,5
XPLG11,Logística,"94,34",29911,"0,74","0,79","2,39","4,58","8,80","0,80","0,76","0,73","2,39","-0,35","0,44","4,94"," 3.079.673.741,20"," 113,64","0,83","0,65","-0,60","0,05","0,70","8,80","1,20",13
RZAG11,Títulos e Val. Mob.,"9,08",238398,"0,11","1,21","3,72","7,32","15,12","1,24","1,22","1,26","3,72","-6,89","-5,76","-2,28"," 647.584.255,41"," 9,52","0,95","1,28","-2,21","-0,96","-0,96",N/A,N/A,0
LASC11,Shoppings,"104,00",22,"0,71","0,68","5,67","8,03","12,28","1,89","1,34","1,02","6,44","1,94","2,63","12,90"," 312.550.406,70"," 106,30","0,98","0,74","0,00","0,74","0,74","2,40",N/A,3
VCRR11,Residencial,"71,20",578,"0,67","0,97","2,87","5,60","10,93","0,96","0,93","0,91","2,87","-0,20","0,76","0,24"," 256.512.077,00"," 128,26","0,56","0,52","0,00","0,52","1,05",N/A,N/A,0
KNHY11,Títulos e Val. Mob.,"96,57",9882,"1,30","1,34","3,83","6,22","12,96","1,28","1,04","1,08","3,83","-1,02","0,31","5,28"," 1.829.695.369,00"," 98,95","0,98","1,09","0,75","1,85","3,23",N/A,N/A,0
NEWL11,Híbrido,"100,80",434,"0,93","0,94","2,80","5,96","12,15","0,93","0,99","1,01","2,80","-1,05","-0,12","2,78"," 245.626.492,10"," 120,81","0,83","0,77","0,59","1,37","2,15","0,00",N/A,2
HSRE11,Híbrido,"103,00",2,"0,63","0,61","1,84","3,70","7,26","0,61","0,62","0,61","1,84","-0,09","0,52","2,35"," 820.516.434,64"," 96,33","1,07","0,65","0,00","0,65","1,89","0,00",N/A,29
RZTR11,Híbrido,"82,11",2651,"0,85","1,06","3,00","6,35","13,63","1,00","1,06","1,14","3,00","-5,02","-4,01","-8,62"," 1.066.113.876,24"," 96,50","0,85","0,88","0,00","0,88","0,88",N/A,N/A,10
BICR11,Títulos e Val. Mob.,"98,59",3,"0,68","0,68","2,21","5,01","9,75","0,74","0,84","0,81","2,21","1,28","1,96","3,89"," 49.727.672,72"," 99,46","0,99","0,72","0,08","0,80","1,61",N/A,N/A,0
VGHF11,Títulos e Val. Mob.,"8,65",192872,"0,10","1,13","3,34","6,35","13,70","1,11","1,06","1,14","3,34","-2,11","-1,00","-0,46"," 663.841.169,83"," 9,11","0,95","1,10","-0,54","0,55","0,55",N/A,N/A,0
LGCP11,Logística,"71,85",4172,"0,60","0,83","2,40","4,64","9,22","0,80","0,77","0,77","2,40","-6,20","-5,42","-5,48"," 280.890.961,70"," 102,78","0,70","0,58","0,01","0,60","1,79","0,50",N/A,5
FIIP11B,Logística,"140,81",293,"1,35","0,98","2,84","5,50","10,50","0,95","0,92","0,88","2,84","-4,44","-3,51","-3,38"," 172.954.872,36"," 186,54","0,75","0,72","0,07","0,79","2,33","0,00",N/A,7
HGRU11,Híbrido,"116,00",22644,"0,85","0,74","2,17","5,13","9,77","0,72","0,85","0,81","2,17","0,96","1,71","-0,69"," 2.275.112.647,43"," 123,60","0,94","0,69","0,67","1,36","2,04","0,00","0,00",17
XPCI11,Outros,"79,83",13246,"0,95","1,17","3,64","6,00","12,73","1,21","1,00","1,06","3,64","1,63","2,82","6,90"," 788.974.768,47"," 90,67","0,88","1,10","-3,16","-2,09","-2,09",N/A,N/A,0
XPCM11,Lajes Corporativas,"12,54",3204,"0,10","0,79","2,28","5,90","11,50","0,76","0,98","0,96","2,28","-14,05","-13,37","-28,03"," 104.359.429,79"," 43,22","0,29",N/A,N/A,N/A,N/A,"100,00",N/A,1
XPPR11,Outros,"23,80",6943,"0,10","0,39","1,64","4,19","8,55","0,55","0,70","0,71","1,64","-15,61","-15,28","-20,52"," 539.662.846,39"," 73,76","0,32","0,14","-1,05","-0,92","-0,52","46,00","0,00",4
VINO11,Lajes Corporativas,"40,07",18202,"0,31","0,80","2,24","4,33","8,58","0,75","0,72","0,71","2,24","-8,19","-7,46","-9,50"," 904.680.861,58"," 54,61","0,73","0,57","-0,34","0,22","0,79","4,20",N/A,9
BARI11,Títulos e Val. Mob.,"77,05",5176,"0,90","1,17","3,23","6,26","13,97","1,08","1,04","1,16","3,23","-8,15","-7,07","-12,79"," 443.249.200,01"," 95,65","0,81","0,94","0,47","1,41","2,37",N/A,N/A,0
JGPX11,Híbrido,"95,82",1744,"1,40","1,47","4,00","7,68","14,81","1,33","1,28","1,23","4,00","-1,14","0,31","2,18"," 81.580.020,93"," 96,19","1,00","1,17","-0,01","1,17","1,17",N/A,N/A,0
RBIR11,Residencial,"63,68",291,"0,46","0,76","0,00","0,00","0,00","0,00","0,00","0,00","0,76","0,00","0,76","0,76"," 145.499.599,99"," 95,18","0,67",N/A,N/A,N/A,N/A,N/A,N/A,0
RBTS11,Outros,"1.121,00",2,"30,64","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,44"," 61.943.113,63"," 1.095,85","1,02","0,46","0,00","0,46","0,46",N/A,N/A,0
CBOP11,Lajes Corporativas,"36,01",106,"0,12","0,33","0,87","4,79","10,51","0,29","0,80","0,88","0,87","-15,61","-15,33","-20,31"," 104.576.322,61"," 73,91","0,49","0,16","0,05","0,21","0,38","33,59","30,79",1
GESE11B,Outros,"1.520,00",3,"14,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 92.165.204,01"," 1.772,41","0,86","0,78","0,00","0,78","0,78",N/A,N/A,0
BICE11,Títulos e Val. Mob.,"998,00",7,"10,00","1,00","4,16","7,11","0,00","1,39","1,18","0,00","4,16","2,46","3,49","5,59"," 69.077.664,12"," 969,13","1,03","1,30","-0,22","1,08","3,00",N/A,N/A,0
CXCE11B,Outros,"39,74",431,"0,42","1,08","3,11","6,23","11,69","1,04","1,04","0,97","3,11","-3,38","-2,34","-1,91"," 111.628.383,84"," 65,17","0,61","0,64","-0,68","-0,04","0,59","0,00",N/A,1
RBFF11,Títulos e Val. Mob.,"47,35",4344,"0,49","1,05","2,98","5,83","11,33","0,99","0,97","0,94","2,98","-8,28","-7,32","-5,24"," 239.928.753,34"," 63,99","0,74","0,80","-4,94","-4,19","6,43",N/A,N/A,0
FIGS11,Shoppings,"45,91",2072,"0,39","0,85","2,47","4,79","9,15","0,82","0,80","0,76","2,47","-3,45","-2,63","-2,77"," 217.491.762,45"," 76,31","0,60","0,51","-0,01","0,50","1,02","13,70",N/A,2
SDIL11,Logística,"87,00",14252,"0,83","0,95","2,77","5,35","10,35","0,92","0,89","0,86","2,77","-2,39","-1,47","-2,39"," 622.198.909,53"," 97,29","0,89","0,85","-0,28","0,57","1,42","2,60",N/A,5
PQAG11,Logística,"50,00",251,"0,44","0,86","2,51","4,90","9,24","0,84","0,82","0,77","2,51","-3,79","-2,96","-3,17"," 801.309.157,36"," 57,27","0,87","0,77","0,06","0,82","1,60","0,00",N/A,1
FVPQ11,Shoppings,"92,46",81,"0,82","0,93","2,79","4,50","8,17","0,93","0,75","0,68","2,79","-10,89","-10,06","-10,46"," 536.413.763,21"," 191,57","0,48","0,32","0,05","0,38","1,03","5,50",N/A,1
HGCR11,Títulos e Val. Mob.,"102,39",30587,"1,20","1,19","3,54","7,07","13,99","1,18","1,18","1,17","3,54","-0,85","0,33","2,03"," 1.568.178.886,78"," 101,71","1,01","1,18","1,06","2,25","3,47",N/A,N/A,0
HGPO11,Lajes Corporativas,"238,00",3337,"1,60","0,65","1,92","3,77","7,15","0,64","0,63","0,60","1,92","-1,04","-0,40","-2,61"," 524.636.581,29"," 299,27","0,80","0,53","-0,03","0,50","1,04","4,99","2,72",2
BLMO11,Lajes Corporativas,"20.999,00",1,"50,00","0,24","0,48","0,61","1,24","0,16","0,10","0,10","0,48","0,00","0,23","0,47"," 126.937.662,78"," 33.431,04","0,63","0,15","0,13","0,28","0,40","0,00",N/A,1
BTSG11,Híbrido,"101,00",81,"0,87","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 106.708.130,99"," 137,69","0,73","0,63","0,00","0,64","1,91",N/A,N/A,0
VLOL11,Lajes Corporativas,"94,01",1561,"0,10","0,11","1,38","3,17","6,69","0,46","0,53","0,56","1,38","-2,64","-2,53","-4,30"," 198.706.747,67"," 111,33","0,84","0,55","0,00","0,55","0,55","0,00",N/A,1
BBFO11,Títulos e Val. Mob.,"62,00",1514,"0,69","1,09","3,35","6,04","12,60","1,12","1,01","1,05","3,35","-4,26","-3,21","-1,87"," 301.826.276,48"," 75,38","0,82","0,92","-3,27","-2,39","-2,07",N/A,N/A,0
NVHO11,Hospital,"12,00",102,"0,09","0,71","2,24","4,71","8,98","0,75","0,79","0,75","2,24","11,63","12,42","11,56"," 579.484.343,88"," 13,97","0,86","0,60","0,04","0,64","1,24",N/A,N/A,1
RNDP11,Títulos e Val. Mob.,"118,00",5,"0,74","0,62","1,36","3,22","9,14","0,45","0,54","0,76","1,36","-24,22","-23,75","-21,94"," 19.898.467,22"," 185,13","0,64","0,18","-3,93","-3,76","-3,35",N/A,N/A,0
HCHG11,Outros,"79,00",328,"1,00","1,18","3,56","7,00","13,61","1,19","1,17","1,13","3,56","-0,73","0,45","5,84"," 120.537.373,66"," 100,45","0,79","1,00","-0,97","0,02","1,00",N/A,N/A,0
KNRI11,Híbrido,"143,00",2099,"0,95","0,69","2,03","4,01","7,76","0,68","0,67","0,65","2,03","0,26","0,95","0,49"," 3.865.366.045,72"," 160,01","0,89","0,59","0,08","0,67","1,24","2,00","6,72",20
PLOG11,Logística,"68,51",1533,"0,70","1,01","3,10","6,06","12,19","1,03","1,01","1,02","3,10","-3,36","-2,38","-1,39"," 79.701.531,09"," 106,27","0,64","0,71","-0,08","0,62","1,33","20,40",N/A,1
RBRD11,Híbrido,"33,55",438,"0,32","0,98","2,85","5,21","9,95","0,95","0,87","0,83","2,85","-3,41","-2,46","-4,00"," 122.078.777,33"," 65,92","0,51","0,49","-0,56","-0,08","0,40","15,52",N/A,4
TGAR11,Outros,"108,66",30825,"1,34","1,21","3,46","7,01","14,70","1,15","1,17","1,23","3,46","-1,84","-0,65","-3,36"," 1.801.084.399,11"," 130,66","0,83","1,00","-1,13","-0,14","0,84",N/A,N/A,0
HBRH11,Híbrido,"92,60",144,"0,62","0,68","2,06","4,15","8,75","0,69","0,69","0,73","2,06","0,17","0,84","5,49"," 311.221.960,40"," 112,27","0,82","0,54","-0,82","-0,28","0,27",N/A,N/A,3
VOTS11,Títulos e Val. Mob.,"85,28",83,"1,16","1,36","3,97","7,31","14,98","1,32","1,22","1,25","3,97","4,52","5,94","4,08"," 77.772.057,19"," 93,94","0,91","1,23","0,92","2,16","4,55",N/A,N/A,0
PLRI11,Títulos e Val. Mob.,"21,17",57,"0,11","0,49","1,57","3,49","7,54","0,52","0,58","0,63","1,57","-6,60","-6,14","-8,47"," 30.905.371,98"," 32,39","0,65","0,48","0,38","0,85","1,20",N/A,N/A,0
IDFI11,Híbrido,"49,98",101,"0,56","1,12","2,25","3,69","11,54","0,75","0,62","0,96","2,25","-7,95","-6,92","-7,03"," 114.073.776,01"," 55,43","0,90","0,21","0,00","0,21","0,21",N/A,N/A,0
VTLT11,Logística,"90,28",1047,"0,88","1,00","2,95","5,57","10,94","0,98","0,93","0,91","2,95","-0,32","0,68","-2,76"," 213.498.044,14"," 100,94","0,89","0,87","0,05","0,92","2,87","0,00","0,00",1
RBRS11,Híbrido,"50,80",38,"0,40","0,80","2,29","4,75","9,25","0,76","0,79","0,77","2,29","-6,04","-5,28","-13,17"," 163.150.275,68"," 94,07","0,54","0,43","-0,01","0,42","0,88",N/A,N/A,0
TEPP11,Lajes Corporativas,"70,64",5631,"0,51","0,75","2,21","4,26","8,27","0,74","0,71","0,69","2,21","1,04","1,81","0,31"," 403.577.910,00"," 95,59","0,74","0,52","0,03","0,55","1,07","9,06","18,03",5
PATC11,Lajes Corporativas,"64,00",375,"0,27","0,43","1,08","6,22","18,11","0,36","1,04","1,51","1,08","-6,41","-6,01","-6,78"," 264.876.923,19"," 76,17","0,84","0,29","-0,43","-0,14","0,15","21,90","18,90",6
APTO11,Híbrido,"8,65",2633,"0,10","1,19","3,57","6,83","13,98","1,19","1,14","1,16","3,57","3,07","4,30","-0,08"," 40.016.553,54"," 9,97","0,87","1,00","0,21","1,21","2,23",N/A,N/A,0
LSAG11,,"106,84",209,"1,68","1,59","4,10","6,65","0,00","1,37","1,11","0,00","4,10","-0,95","0,63","2,57",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KNIP11,Títulos e Val. Mob.,"90,55",74102,"1,05","1,16","3,27","5,16","12,03","1,09","0,86","1,00","3,27","-0,88","0,27","3,04"," 7.561.313.450,45"," 94,42","0,96","0,96","0,69","1,66","2,74",N/A,N/A,0
NEWU11,Lajes Corporativas,"69,58",99,"0,14","0,20","0,59","1,05","1,67","0,20","0,18","0,14","0,59","12,42","12,65","60,07"," 51.090.146,79"," 68,85","1,01","0,15","0,09","0,23","0,38","63,20",N/A,3
KNCR11,Títulos e Val. Mob.,"96,81",101107,"1,22","1,27","3,49","6,91","13,77","1,16","1,15","1,15","3,49","-3,26","-2,03","0,38"," 5.753.029.617,95"," 100,76","0,96","0,99","0,02","1,01","2,21",N/A,N/A,0
JSAF11,Títulos e Val. Mob.,"81,36",5346,"0,93","1,18","3,50","6,73","13,32","1,17","1,12","1,11","3,50","-1,23","-0,06","1,87"," 143.602.322,75"," 91,29","0,89","1,02","-0,59","0,42","1,44",N/A,N/A,0
PLCA11,,"88,00",425,"1,12","1,29","3,59","5,87","0,00","1,20","0,98","0,00","3,59","-9,64","-8,47","-5,36",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
SHPH11,Shoppings,"639,99",144,"3,40","0,51","1,49","2,78","5,66","0,50","0,46","0,47","1,49","1,37","1,89","-8,30"," 545.106.402,78"," 895,16","0,71","0,38","0,11","0,49","0,49","10,80",N/A,1
VILG11,Logística,"89,14",19798,"0,65","0,77","2,10","4,16","8,40","0,70","0,69","0,70","2,10","-3,23","-2,48","-8,10"," 1.677.627.497,04"," 111,86","0,80","0,47","-0,17","0,30","0,90","0,00",N/A,16
RBED11,Outros,"120,54",939,"1,26","1,04","3,12","6,13","11,86","1,04","1,02","0,99","3,12","-1,50","-0,47","3,71"," 336.524.619,16"," 144,28","0,84","0,87","-0,02","0,85","1,73","0,00",N/A,5
AAZQ11,,"9,38",62901,"0,15","1,58","0,00","0,00","0,00","0,00","0,00","0,00","4,48","-1,45","0,10","2,28"," 231.064.980,16"," 9,61","0,98","1,35","0,00","1,35","1,35",N/A,N/A,0
HSLG11,Logística,"77,08",4833,"0,72","0,97","2,73","5,05","9,54","0,91","0,84","0,80","2,73","-8,52","-7,63","-5,24"," 1.322.434.765,50"," 104,46","0,74","0,69","-0,28","0,40","1,65","1,10",N/A,5
HSAF11,Títulos e Val. Mob.,"76,25",3768,"0,95","1,24","3,52","6,44","13,67","1,17","1,07","1,14","3,52","-2,18","-0,97","0,17"," 229.952.016,90"," 91,02","0,84","1,04","0,15","1,20","3,00",N/A,N/A,0
GTWR11,Lajes Corporativas,"76,49",26143,"0,79","1,06","3,19","6,00","11,89","1,06","1,00","0,99","3,19","0,15","1,21","3,36"," 1.138.967.684,57"," 94,91","0,81","0,83","0,15","0,98","2,71","0,00","0,00",1
MFII11,Híbrido,"87,03",4459,"1,11","1,24","3,54","7,02","13,79","1,18","1,17","1,15","3,54","-5,44","-4,26","-4,72"," 428.571.521,51"," 103,35","0,84","1,08","-2,30","-1,24","-1,24",N/A,N/A,9
RBVO11,Outros,"8,91",22,"0,01","0,11","0,43","0,92","2,52","0,14","0,15","0,21","0,43","-4,56","-4,46","-7,87"," 8.867.875,26"," 17,19","0,52","0,12","0,45","0,57","0,63",N/A,N/A,0
HOFC11,Lajes Corporativas,"24,98",998,"0,20","0,80","0,80","2,30","7,29","0,27","0,38","0,61","0,80","0,00","0,80","0,80"," 340.546.561,95"," 90,12","0,28","0,12","-0,45","-0,32","-0,20","46,00","50,00",4
SARE11,Híbrido,"55,93",17218,"0,62","1,12","3,22","5,92","11,18","1,07","0,99","0,93","3,22","-9,38","-8,36","-5,28"," 868.018.151,97"," 94,00","0,60","0,67","-0,12","0,55","1,23","6,20",N/A,3
CXCO11,Lajes Corporativas,"68,28",1632,"0,74","1,07","2,82","5,80","11,46","0,94","0,97","0,96","2,82","-1,60","-0,54","-0,94"," 390.084.283,30"," 99,40","0,69","0,51","0,06","0,57","1,31",N/A,N/A,0
XPSF11,Outros,"6,71",58355,"0,08","1,10","3,21","6,30","12,11","1,07","1,05","1,01","3,21","-0,86","0,23","-1,44"," 349.182.381,89"," 8,06","0,83","0,94","-5,58","-4,69","-4,69",N/A,N/A,0
HREC11,Títulos e Val. Mob.,"75,47",752,"0,90","1,19","3,49","6,80","13,44","1,16","1,13","1,12","3,49","-1,84","-0,67","-0,88"," 458.136.553,10"," 88,84","0,85","1,01","0,49","1,50","2,54",N/A,N/A,0
VCRI11,,"7,94",17032,"0,11","1,39","3,92","7,94","0,00","1,31","1,32","0,00","3,92","-7,83","-6,54","-7,41"," 168.716.555,85"," 9,49","0,84","1,16","0,26","1,43","2,60",N/A,N/A,0
KCRE11,Renda,"89,33",3004,"1,35","1,52","3,65","5,27","0,00","1,22","0,88","0,00","3,65","-4,97","-3,53","2,54"," 352.269.873,70"," 97,85","0,91","0,89","0,40","1,30","2,42",N/A,N/A,0
CYCR11,Títulos e Val. Mob.,"8,05",14562,"0,10","1,26","3,61","7,27","14,39","1,20","1,21","1,20","3,61","-2,70","-1,47","-2,84"," 156.698.165,40"," 9,60","0,84","1,04","-89,90","-89,79","-89,79",N/A,N/A,0
RDPD11,Títulos e Val. Mob.,"23,35",22605,"0,39","1,67","4,26","7,80","14,69","1,42","1,30","1,22","4,26","-13,70","-12,26","-13,13"," 27.775.234,59"," 25,76","0,91","1,51","-7,66","-6,26","-5,07",N/A,N/A,0
HTMX11,Hotel,"106,90",3332,"0,63","0,61","1,85","4,89","7,26","0,62","0,81","0,60","1,85","-2,25","-1,66","-7,10"," 211.128.423,78"," 140,35","0,76",N/A,N/A,N/A,N/A,"65,00",N/A,23
XPCA11,Títulos e Val. Mob.,"9,78",118002,"0,15","1,54","4,16","8,18","16,30","1,39","1,36","1,36","4,16","-2,41","-0,90","2,12"," 297.830.419,39"," 9,49","1,03","1,37","-0,03","1,34","1,34",N/A,N/A,0
URPR11,Outros,"88,32",42916,"1,33","1,44","3,99","7,43","16,56","1,33","1,24","1,38","3,99","-7,06","-5,72","-5,14"," 1.159.729.550,73"," 99,33","0,89","1,31","0,27","1,59","2,87",N/A,N/A,0
HUSC11,Outros,"102,00",1,"0,86","0,82","2,48","4,18","9,56","0,83","0,70","0,80","2,48","2,25","3,09","2,45"," 116.361.286,88"," 146,44","0,70","0,58","-0,22","0,36","0,95",N/A,N/A,0
NVIF11B,Outros,N/A,N/A,"0,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 109.115.040,53"," 323,40",N/A,"0,14","1,85","1,99","2,13",N/A,N/A,0
LVBI11,Logística,"96,00",10217,"0,75","0,80","2,33","4,46","8,81","0,78","0,74","0,73","2,33","-2,83","-2,05","-1,49"," 1.360.113.106,61"," 115,51","0,83","0,65","-0,03","0,62","4,47","0,50","0,00",10
JPPA11,Títulos e Val. Mob.,"90,95",6219,"1,40","1,44","4,14","8,25","18,59","1,38","1,37","1,55","4,14","-5,10","-3,74","-2,64"," 88.466.602,64"," 97,86","0,93","1,43","0,01","1,44","2,89",N/A,N/A,0
QAMI11,Híbrido,"74,99",37,"0,85","1,09","3,40","6,44","14,04","1,13","1,07","1,17","3,40","-2,06","-0,99","-0,71"," 73.333.958,70"," 91,51","0,82","0,87","-1,61","-0,75","10,69",N/A,N/A,0
OUJP11,Títulos e Val. Mob.,"90,26",7324,"1,25","1,38","3,92","7,70","16,08","1,31","1,28","1,34","3,92","-8,25","-6,99","-3,85"," 324.677.302,55"," 99,83","0,90","1,25","0,04","1,29","2,56",N/A,N/A,0
EVBI11,Híbrido,"93,95",128,"0,75","0,83","2,42","4,75","9,39","0,81","0,79","0,78","2,42","-3,72","-2,93","-1,37"," 167.003.499,89"," 99,81","0,94","0,75","-0,03","0,72","1,48","0,00",N/A,4
HGRE11,Lajes Corporativas,"115,50",10574,"0,78","0,72","2,09","4,15","7,70","0,70","0,69","0,64","2,09","-5,16","-4,47","-3,14"," 1.853.864.603,15"," 156,87","0,74","0,50","-0,08","0,41","1,42","27,13","29,17",21
NSLU11,Hospital,"164,01",724,"1,54","0,96","2,81","5,48","9,46","0,94","0,91","0,79","2,81","-2,80","-1,88","0,29"," 251.911.778,36"," 194,78","0,84","0,77","0,05","0,82","3,11","0,00",N/A,1
